ogd_id,ref_date,ctnuml4a,ct,geometry
245998,2018-06-30,1020,142,0103000020377A000001000000210000009EEFA7C6F01A214185EB5138AFB52041448B6CA7F01A21413108AC9CE5B52041CDCCCC0C161B2141F2D24DA2D7B5204114AE47214C1B214160E5D022C9B52041713D0A579A1B21410E2DB25DB9B520412B871699041C2141B29DEF279CB520416891EDFC4C1C21413333337384B5204100000000FF1C2141CBA145363BB5204100000040761D2141B4C8767E13B520415839B4C8B71D2141BE9F1AEFFAB4204148E17A14641E21413108ACDCB5B420417D3F355EC01E2141C3F5289C90B42041D9CEF753FD1E21410E2DB2DD7BB42041DBF97EAA271F2141F4FDD47871B420411D5A64FB261F2141A245B6736AB420411F85EB111F1F2141000000403FB42041DF4F8DD7151F2141295C8F8213B42041931804D6091F214166666666F1B32041333333B3001F2141448B6CA7E4B32041C520B032FC1E2141E7FBA971DDB320410C022B47291E21416210583921B42041D578E9E6A41D21412DB29D6F4AB420413108ACDC141D2141C3F5281C7BB42041B6F3FDD4A81C2141A245B6B3A0B420418FC2F5282E1C2141E5D0229BCEB420419CC42070CA1B2141894160A5F4B42041986E1203971B214117D9CE3705B5204179E926716A1B2141C3F5285C12B5204185EB5138FD1A214191ED7C7F26B5204114AE4721F71A2141A8C64BB745B52041EE7C3F35F31A2141000000407DB520413E0AD723F11A21417D3F351EA7B520419EEFA7C6F01A214185EB5138AFB52041
326880,2018-06-30,1240,353,0103000020377A0000010000001A000000BA490CC2CB3921416F128380FD91204154E3A5DBF0392141A245B67359922041C976BEDF103A2141190456CEAD9220416DE7FB29213A21417D3F359EEB9220414260E5D02F3A2141D34D62502693204114AE4721363A2141DBF97E2A499320414260E5503E3A21413BDF4F8D8B93204110583974403A2141A4703D8ACB9320411F85EBD13E3A214133333333EF93204117D9CEB73D3A21417F6ABCB4F793204177BE9F1A8B3A2141EE7C3FB5F6932041022B87168C3A21419A9999D9E8932041508D972E843A21418B6CE7FBEC932041560E2DF26E3A214117D9CEB7F3932041C520B0F24F3A21418D976E52F3932041CDCCCC4C463A214191ED7C3FED932041EC51B8DE443A214175931884C993204106819583443A2141C74B3749A8932041F4FDD4383B3A2141F2D24DE24893204185EB51B8333A21416666662620932041E5D022DB263A2141E7FBA9B1E7922041DF4F8D570B3A2141448B6CA792922041448B6CE7F5392141C520B0B25C922041560E2DB2DE392141DD24060120922041508D97AECE3921417B14AE07FC912041BA490CC2CB3921416F128380FD912041
327371,2018-06-30,1020,116,0103000020377A0000010000001D00000077BE9F1AC34221418FC2F5687992204148E17A5400432141EE7C3F35FE9220412FDD2406154321412B871659329320415A643B9F40432141A245B6B3AC932041F6285C8F6F4321412FDD24462494204104560EED99432141CBA145F61194204179E92671EA4321410E2DB29DF1932041000000400D44214114AE47A1DE9320413789412039442141CBA14536C0932041931804D63F4421413D0AD763BA9320412731082C12442141295C8F427793204139B4C836D9432141AC1C5AA404932041022B8796D3432141D9CEF793F69220416DE7FBA91B442141BE9F1AAFCB922041EE7C3F750C44214146B6F3BDB092204177BE9FDAE44321415C8FC23569922041D578E926C5432141819543CB4E922041AAF1D20DAF432141643BDF0F30922041105839F4984321419A99991901922041B4C876BE7C4321416891EDFCC3912041B6F3FD942C4321412FDD24463C912041F6285CCFF042214193180456D09020417D3F35DE57422141C74B378907912041B6F3FDD42342214114AE47A11C9120414C3789813B4221416DE7FBA95A912041F0A7C64B52422141666666268F912041F4FDD43880422141C74B3709EC912041A4703DCAA94221412FDD24064592204177BE9F1AC34221418FC2F56879922041
327372,2018-06-30,1020,116,0103000020377A0000010000001D00000048E17A14153A2141B81E85ABDC912041AC1C5AA40F3A214177BE9F5ACC91204152B81EC5063A2141B4C876BEB291204100000040E0392141CBA14536C8912041DBF97EEABD392141C976BE9FDC912041508D97AECE3921417B14AE07FC912041560E2DB2DE392141DD24060120922041448B6CE7F5392141C520B0B25C922041DF4F8D570B3A2141448B6CA792922041E5D022DB263A2141E7FBA9B1E792204185EB51B8333A21416666662620932041F4FDD4383B3A2141F2D24DE248932041448B6CA7413A2141333333338993204106819583443A2141C74B3749A8932041EC51B8DE443A214175931884C9932041CDCCCC4C463A214191ED7C3FED932041C520B0F24F3A21418D976E52F3932041560E2DF26E3A214117D9CEB7F3932041508D972E843A21418B6CE7FBEC932041022B87168C3A21419A9999D9E893204179E926318E3A214117D9CE37CB932041B07268518F3A21413F355E3A9693204179E926B18B3A214152B81EC55D932041F0A7C64B823A2141713D0A1720932041508D972E703A2141EE7C3FB5DB9220419A9999995E3A2141AAF1D28DAC922041986E1203423A2141DBF97E6A629220414E6210182F3A2141D578E9662892204148E17A14153A2141B81E85ABDC912041
327373,2018-06-30,1020,116,0103000020377A000001000000200000008D976E129838214152B81EC5CB932041068195039638214191ED7C3F539420415C8FC2359F382141508D972EE89420413D0AD7E3803821410C022B47F2942041F2D24DA291382141A245B63324952041448B6CE7A43821411B2FDDA4589520418FC2F568B7382141AC1C5AE48B952041DD240681C1382141FA7E6AFCB2952041FA7E6ABCE23821414E6210181696204185EB5178FA38214185EB51386A962041105839341D392141A01A2FDDC7962041508D976E36392141A01A2F5DF9962041C3F528DC4239214177BE9F9A0A97204117D9CEB75D392141F2D24D62FB962041CBA145367239214166666626E4962041F6285C8F58392141713D0A57AC9620412731086C4A392141CDCCCC0C889620419EEFA7063C39214179E926F15E9620414C37894130392141AAF1D2CD35962041448B6C67243921414A0C022BFB952041A01A2F9D1B39214177BE9F1AB495204154E3A5DB11392141C520B0326B952041FED478290939214121B072E8369520416F128340023921416DE7FB29F994204121B07268003921419CC420B0B4942041508D97EEFF382141C520B0F24C9420418FC2F5E8FD3821411F85EB91EA932041CDCCCC0CFC3821416DE7FBE9A79320411B2FDD24F53821416F128300A7932041E3A59B04CE382141DBF97E2AAA9320414A0C026B993821410C022B07AB9320418D976E129838214152B81EC5CB932041
327746,2018-06-30,1170,771,0103000020377A0000010000000E000000F853E3252E2F2141DBF97EAAF1912041E92631087B2F2141508D97EE4B912041FED478E9542F2141CFF7536338912041A245B6B3432F214160E5D02230912041BE9F1A6F1B2F2141DF4F8D1791912041CFF75323ED2E2141CBA145F6FA9120410E2DB2DDB82E2141643BDFCF7B922041BE9F1A2FA62E2141D7A3703DB392204191ED7CFFA12E2141EC51B8DEC5922041A245B673A22E214177BE9F5AD19220414C378941D52E21414260E550E69220414E621058ED2E21417B14AE8791922041CDCCCC0C1D2F2141C3F5289C16922041F853E3252E2F2141DBF97EAAF1912041
333384,2018-06-30,1020,142,0103000020377A00000100000005000000355EBA0976202141DBF97EAAE99E20415EBA49CCA4202141AAF1D20D9C9E20419A999959471F21416F1283C02E9A20411D5A647B091F21419A9999594B9A2041355EBA0976202141DBF97EAAE99E2041
333385,2018-06-30,1020,138,0103000020377A0000010000000E000000D9CEF7D3832521412FDD24466F9A2041BA490CC26F272141295C8F82829D2041A01A2F5D852721414C3789817C9D204152B81E85A2272141B6F3FDD4739D2041AC1C5A64C6272141C3F528DC6C9D204104560E6DCE272141713D0A176C9D204189416025B7272141931804D6469D2041F2D24D62B2272141759318C4449D204133333333AD27214146B6F37D3D9D2041C976BE5FAC272141C74B3789389D2041D578E9A6A82721413E0AD7A32F9D2041F2D24D62E0252141D7A3707D559A2041C1CAA1C5BC252141AAF1D20D5F9A2041D9CEF7D3832521412FDD24466F9A2041
333386,2018-06-30,1020,138,0103000020377A00000100000008000000736891ADED2121410C022BC7E5952041BA490C4282212141355EBA490D9620418195430BB2222141643BDF4FBB982041E17A14EED6222141F0A7C64BAE98204189416025FC22214183C0CAA180982041621058B901232141BC7493986A98204183C0CA61F92221417D3F35DE42982041736891ADED2121410C022BC7E5952041
333388,2018-06-30,1210,634,0103000020377A00000100000008000000378941E0C8222141B6F3FDD4FB90204115AE47E1782221411058393403912041B4C8763E5D22214166666626019120411904568E18242141295C8F42EB94204185EB51B85D24214115AE4761D7942041C520B0322D2421411F85EB912E9420414A0C022BCD222141D578E9660D912041378941E0C8222141B6F3FDD4FB902041
334104,2018-06-30,1010,155,0103000020377A000001000000050000005EBA49CC872021418D976ED2BC922041A4703DCA14202141F4FDD4F8D3922041BA490C4282212141355EBA490D962041736891ADED2121410C022BC7E59520415EBA49CC872021418D976ED2BC922041
334105,2018-06-30,1210,716,0103000020377A000001000000070000001904568E18242141295C8F42EB942041FA7E6AFC802421416ABC7453D79520419A9999598A2421417D3F35DEB5952041931804569F242141BE9F1AAF779520410E2DB25DBF24214191ED7C7F2595204108AC1C5AA2242141FCA9F112C49420411904568E18242141295C8F42EB942041
334106,2018-06-30,1210,634,0103000020377A0000010000000B000000C1CAA185F6222141CBA145B6F5902041D9CEF713E122214108AC1C9AF9902041378941E0C8222141B6F3FDD4FB9020414A0C022BCD222141D578E9660D912041C520B0322D2421411F85EB912E94204185EB51B85D24214115AE4761D7942041FA7E6A3CA22421412DB29DAFC39420418D976ED26F242141B29DEF671A942041931804D68F23214177BE9F9A20922041BC749358122321415C8FC27504912041C1CAA185F6222141CBA145B6F5902041
337546,2018-06-30,1210,633,0103000020377A0000010000001600000046B6F33DAD512141B29DEFA7F68F20411D5A647BE9512141F2D24D221A902041713D0A9710522141AE47E1FA28902041A245B6331B52214160E5D0A226902041621058F92152214146B6F3FD239020415839B4C85E5221411283C0CA059020413BDF4F4D5D522141B072685102902041333333B389522141B4C876FEDD8F20413F355E3AD1522141D34D62D0A38F204123DBF9BEF35221413BDF4FCD898F204191ED7CFFE4522141BE9F1A2F6F8F20411283C00AE1522141105839F4628F20416DE7FB29D25221418D976ED2498F2041A69BC46004522141EC51B89EAE8F2041F6285C0FAA512141E5D0225BDD8F20416ABC7453A051214175931844CC8F20411F85EB9182512141D7A3703D988F204152B81EC54F512141986E1203BC8F2041E7FBA931735121419EEFA706D88F2041378941A094512141448B6C27ED8F20416DE7FBA99D512141759318C4E88F204146B6F33DAD512141B29DEFA7F68F2041
337547,2018-06-30,1210,633,0103000020377A0000010000000C0000001904560E0556214177BE9F5AF39020413F355EBA32562141CBA145B65C9120417B14AE473F562141986E12C360912041333333B3A25621411D5A647B25912041E5D022DBD3562141DF4F8D170C9120414260E51037572141A8C64B37E690204139B4C836D2562141022B8796FD8F20411F85EB11665621415EBA494C7C902041E7FBA9713856214166666666AE902041A69BC4A02756214123DBF97EC09020416DE7FB69FE5521415839B408E49020411904560E0556214177BE9F5AF3902041
337548,2018-06-30,1020,138,0103000020377A0000010000000A0000007B14AE47264F21413108AC5C3E9220415A643B9FF24E21414260E51060922041643BDF4F034F2141B29DEFA78A922041F4FDD4F8744F2141C74B3709AE9320410E2DB29D7F4F2141F2D24DA2CC932041022B8756964F21414C3789C1AC932041C74B3709B84F21416DE7FBE99F93204104560E2DBA4F2141A8C64B778E9320410E2DB21D454F2141AC1C5AA4649220417B14AE47264F21413108AC5C3E922041
337549,2018-06-30,1020,116,0103000020377A000001000000080000006891EDBCE5552141A01A2F1DAB902041986E12832B562141C1CAA18573902041560E2D3257562141B4C8763E53902041F0A7C64B33562141D9CEF79313902041E9263108EF5521418D976E92229020412B871619BC552141E5D0221B329020414C378981B655214121B072283E9020416891EDBCE5552141A01A2F1DAB902041
